#{"t_start": 1706984273.8079019, "env_id": "CustomHopper-source-v0"}
r,l,t
9.932119,12,0.009356
6.189601,9,0.01291
5.038049,9,0.016499
20.878017,23,0.025776
6.156988,14,0.031343
6.146937,11,0.035673
4.58146,13,0.040897
7.550898,12,0.045608
12.546941,14,0.051192
13.407816,17,0.05804
3.704331,14,0.063721
16.239108,27,0.074625
15.929958,16,0.08104
20.885547,21,0.089442
9.773883,18,0.096728
7.029698,10,0.10083
7.417419,10,0.106543
12.023273,19,0.11445
18.611758,34,0.128436
8.897533,13,0.13371
9.539933,12,0.138515
2.820058,11,0.143016
8.379237,15,0.148899
7.147509,23,0.158049
23.744424,21,0.16636
23.70092,23,0.175538
6.158904,10,0.179555
22.115716,22,0.188135
10.450553,16,0.194692
8.808251,17,0.201926
3.169924,20,0.212651
12.259423,18,0.22007
9.32168,11,0.22471
3.575413,7,0.227552
8.6164,11,0.232244
8.896037,13,0.237707
64.295603,36,0.252156
11.322001,18,0.259662
12.943861,14,0.265313
11.129996,18,0.273007
7.025045,12,0.277936
15.689971,24,0.288064
21.330752,26,0.298847
51.842031,35,0.314878
8.48049,10,0.319196
25.990837,23,0.328678
15.942073,33,0.342049
7.128795,10,0.346135
12.486609,14,0.351829
5.898695,17,0.358766
6.413428,9,0.362433
13.112371,15,0.368403
10.505711,30,0.380656
21.049664,23,0.390209
11.281333,13,0.395502
5.977013,10,0.399641
15.255941,30,0.41371
4.324789,9,0.417435
14.397982,18,0.424728
5.04652,17,0.431663
10.100002,19,0.439398
10.913908,17,0.446295
3.429032,9,0.449997
11.220194,13,0.455313
4.379289,15,0.461457
9.598184,27,0.47255
12.635693,19,0.48026
14.200686,15,0.486424
5.804929,8,0.489867
8.401048,13,0.49513
22.538243,25,0.5054
7.156035,12,0.512027
7.893041,11,0.516651
10.84899,24,0.526365
7.673787,11,0.53092
18.046423,23,0.540424
12.216977,14,0.546089
17.395186,26,0.556945
9.832221,17,0.56381
14.978216,13,0.569872
12.751305,16,0.577341
3.659458,17,0.585484
12.561286,21,0.594248
13.202373,15,0.600428
21.254048,36,0.617041
2.768028,19,0.624965
34.247472,43,0.642354
4.099532,16,0.648835
6.738048,10,0.65294
10.206679,31,0.665069
23.505999,27,0.676005
26.793541,25,0.686099
12.022157,19,0.693852
9.296498,21,0.702289
9.54017,11,0.70679
22.635079,43,0.725817
5.670912,11,0.730268
12.120993,13,0.735531
26.742326,27,0.746685
22.036406,23,0.756081
10.234172,12,0.761027
2.008065,10,0.765616
6.96783,11,0.770273
15.807489,18,0.777582
12.020571,14,0.783257
8.349179,17,0.790311
7.485046,12,0.795165
10.075955,12,0.799971
18.21805,19,0.807577
9.715547,14,0.813246
8.460707,10,0.819054
5.152007,8,0.822363
19.519037,22,0.831186
15.507136,24,0.840886
38.985759,26,0.851207
4.201447,16,1.469782
6.339707,9,1.473704
25.197001,31,1.486876
29.408364,26,1.49768
79.274242,61,1.528512
14.293247,23,1.540278
5.392764,8,1.543825
14.155496,16,1.553259
24.920046,22,1.562769
49.807017,41,1.582538
5.082763,10,1.587065
10.993768,15,1.595756
37.088353,30,1.610182
15.210875,16,1.618145
8.997426,15,1.625717
8.530298,17,1.635563
14.836129,23,1.647354
104.836762,52,1.668994
11.732577,30,1.681539
12.038608,15,1.687722
86.018568,63,1.713603
40.577728,37,1.72854
19.264295,31,1.742529
8.895414,14,1.748084
10.59876,14,1.753578
6.819074,12,1.75853
12.68213,16,1.765041
11.120404,18,1.77237
43.877354,38,1.787664
42.064462,42,1.804652
46.022305,34,1.818169
20.069008,32,1.830906
13.092533,16,1.838782
6.286711,9,1.842442
39.971687,33,1.855573
5.775257,24,1.865298
12.034371,21,1.873714
8.519501,12,1.878572
16.440401,20,1.886571
7.979144,13,1.891688
66.979529,43,1.908517
9.269957,19,1.916109
53.597429,54,1.938968
11.35373,14,1.944607
20.427555,22,1.953325
49.220256,37,1.967963
22.11826,21,1.976448
6.343932,9,1.98011
13.992717,18,1.987399
13.824365,29,1.999095
13.295967,17,2.006018
22.008743,25,2.016242
35.581512,25,2.026808
10.241621,14,2.03258
118.099308,78,2.065233
7.517832,11,2.069609
22.412196,42,2.086502
10.728801,13,2.091697
12.147129,14,2.097394
48.438609,41,2.113582
8.669853,15,2.119578
8.793879,18,2.127173
13.031489,19,2.134866
11.81223,16,2.142806
25.395788,30,2.154736
10.886664,13,2.160038
40.93957,39,2.175521
40.465886,66,2.202137
183.492467,95,2.240657
11.045299,23,2.24985
18.104525,23,2.259145
7.517425,11,2.263517
7.614821,11,2.267881
9.164319,19,2.275486
61.800902,38,2.29071
20.905604,22,2.299653
20.164643,20,2.307691
29.996651,30,2.319765
9.963059,12,2.324576
182.584726,99,2.955009
152.934106,71,2.986285
18.230772,20,2.9948
78.862165,50,3.015466
49.024231,48,3.035974
27.575768,23,3.046533
72.879413,57,3.071889
72.55315,46,3.090818
24.962069,20,3.099298
139.520042,73,3.129663
20.098003,17,3.13687
143.164776,70,3.167272
91.895585,50,3.18759
9.658769,11,3.192219
15.590516,15,3.198529
80.180254,45,3.216961
72.79229,45,3.235584
12.811392,20,3.243967
99.078374,53,3.267174
33.959253,34,3.280995
11.999685,17,3.288064
8.890723,11,3.292591
58.81023,54,3.315201
62.444893,51,3.336499
185.976964,112,3.384934
6.81499,12,3.389953
126.590617,79,3.422493
145.567327,76,3.453266
8.851518,16,3.459914
120.764772,74,3.490794
54.075564,42,3.508193
178.169796,83,3.542061
54.781388,33,3.555752
43.402616,32,3.570603
13.614958,15,3.576761
29.347885,32,3.589837
52.120514,35,3.60407
101.624613,69,3.63159
5.868662,10,3.635662
107.290152,62,3.660318
5.445797,10,3.664379
6.296713,10,3.669844
78.630137,45,3.687914
18.499166,18,3.695199
8.904313,17,3.702265
15.953366,16,3.708926
12.90792,18,3.716299
22.70768,31,3.728896
51.474472,43,3.746312
63.792229,46,3.765021
27.460287,24,3.776808
13.190822,34,4.388818
239.403466,116,4.4375
28.360808,27,4.448535
78.369287,57,4.471358
21.959442,25,4.484573
78.111555,44,4.50361
60.056825,38,4.519182
132.690214,70,4.546938
100.294651,60,4.570672
34.810421,45,4.590252
88.24543,50,4.610351
127.420046,70,4.638304
26.600864,26,4.648816
24.825294,24,4.658633
28.121689,24,4.668362
51.25205,28,4.679628
119.542304,60,4.704535
87.535808,46,4.722989
81.332694,45,4.741186
10.859343,13,4.746576
70.505461,44,4.764565
14.943026,21,4.773228
21.10116,22,4.782319
124.346378,67,4.810168
80.153812,43,4.827693
25.324471,20,4.83597
127.645564,64,4.861521
110.406061,57,4.884631
24.936513,21,4.894551
58.646316,63,4.920001
37.062178,38,4.935632
117.793807,59,4.9594
16.484249,24,4.969686
92.678997,64,4.997191
102.546322,54,5.018882
197.303408,93,5.056603
53.686307,31,5.069286
58.820554,37,5.084492
18.262885,26,5.096831
66.745696,37,5.111763
12.890675,26,5.122344
110.392482,62,5.147228
41.322966,42,5.164119
161.489254,100,5.207027
8.221543,11,5.211568
34.963325,24,5.221207
128.528617,96,5.893873
76.213286,42,5.916042
37.566322,43,5.932383
131.123,68,5.95821
45.357351,31,5.970153
87.519152,46,5.987691
10.404361,23,5.997202
46.605476,37,6.013186
145.006594,77,6.043226
112.992149,57,6.065896
62.313207,38,6.081583
15.83485,30,6.094027
79.902337,41,6.112365
25.078927,31,6.124777
98.252832,55,6.146387
103.556027,54,6.168757
167.598198,76,6.200013
124.124522,69,6.229558
140.309612,76,6.259556
97.97649,52,6.28043
106.774835,56,6.302384
16.942142,17,6.309129
209.181144,91,6.34665
144.007532,74,6.37666
86.430361,50,6.396394
32.510872,25,6.406643
61.559189,43,6.425118
90.145317,71,6.453219
164.404398,82,6.485075
18.160148,18,6.492272
117.064564,72,6.521644
82.657928,45,6.538868
84.323644,53,6.5593
164.894691,85,6.592305
88.177065,48,6.611035
54.94628,67,6.638177
203.959036,97,6.675569
173.908775,81,7.326924
22.974155,21,7.339107
64.387653,38,7.357332
86.868043,48,7.37972
41.010593,23,7.390451
101.667754,54,7.415629
223.774448,106,7.464513
72.748393,41,7.482964
215.617959,99,7.525451
205.016582,92,7.565423
124.238279,69,7.594507
138.787038,67,7.622306
87.470328,47,7.642666
110.762501,76,7.674624
82.316975,44,7.692441
158.993964,76,7.723279
141.927085,69,7.752174
141.520445,69,7.779876
111.437301,63,7.80485
25.118989,28,7.815975
73.262462,42,7.832782
210.563586,97,7.872275
67.256641,39,7.888009
175.130181,78,7.919637
213.755519,97,7.959265
54.400929,31,7.971883
133.629062,68,7.999121
124.102643,66,8.02521
75.297868,42,8.043627
213.831713,92,8.080001
149.141483,72,8.107744
134.311767,67,8.133448
114.755416,58,8.156842
