#{"t_start": 1706973417.3287969, "env_id": "CustomHopper-source-v0"}
r,l,t
9.386829,15,0.011045
10.332853,19,0.01876
11.591706,14,0.024866
5.791989,12,0.0298
9.40224,15,0.035808
11.389411,15,0.041864
9.577994,17,0.048796
10.538538,15,0.05479
4.581498,8,0.058019
19.172938,21,0.066387
6.526877,9,0.070149
4.902447,14,0.075836
8.745452,13,0.081104
15.068338,17,0.087858
2.235248,12,0.09268
4.869094,8,0.095844
8.740262,19,0.103576
15.337283,17,0.11217
4.885241,10,0.116229
11.964379,16,0.122543
3.317672,18,0.129779
4.992659,9,0.133514
16.645326,19,0.141144
7.580684,10,0.145113
13.147079,21,0.153547
62.796069,39,0.169101
12.996165,32,0.181905
35.355866,27,0.192698
7.151155,15,0.198627
49.395783,34,0.213879
13.537449,16,0.220259
7.482858,15,0.226291
12.366054,12,0.2312
6.888608,12,0.235989
13.775908,17,0.242838
80.03092,47,0.261368
5.033992,17,0.26835
5.619041,10,0.272337
7.109314,10,0.276375
12.969092,29,0.287941
7.151042,11,0.292331
16.494138,20,0.300357
18.697329,19,0.309626
16.630434,23,0.318849
11.280228,15,0.324888
19.903277,31,0.337536
39.203144,32,0.350159
3.987162,7,0.353034
11.171144,13,0.358157
7.400053,13,0.3634
11.485025,16,0.369832
23.619596,30,0.381855
11.023227,15,0.387824
8.410338,10,0.391863
17.227091,19,0.399394
8.324557,13,0.404534
15.587785,16,0.412699
10.517682,17,0.419592
6.647751,14,0.425205
13.620482,18,0.432398
9.548653,11,0.436772
10.163847,19,0.444364
9.175103,11,0.448822
23.442847,29,0.460331
7.059031,12,0.465326
14.560877,15,0.471455
4.956216,10,0.47556
7.637664,10,0.479635
74.555546,49,0.498667
5.399619,12,0.503567
18.061067,22,0.514601
8.532632,14,0.520388
8.820947,18,0.527745
13.701552,16,0.534275
12.264439,14,0.539979
12.085357,13,0.545262
11.526357,14,0.550991
4.342505,8,0.554284
14.579815,19,0.562022
12.844107,18,0.569377
4.878934,14,0.575783
29.224308,45,0.594653
8.848541,11,0.599301
6.962565,11,0.603761
10.779146,25,0.615803
4.288064,11,0.620354
36.216837,28,0.631453
15.709159,27,0.642298
13.894913,27,0.653346
14.188708,20,0.661452
8.127392,18,0.668832
6.283483,10,0.672811
9.083853,13,0.677929
3.197366,10,0.682013
9.308862,22,0.690732
30.3077,33,0.703842
11.043981,19,0.711699
18.767865,25,0.723599
9.297715,19,0.731307
19.532005,23,0.740531
5.639289,9,0.74431
7.080727,13,0.749484
10.134149,12,0.75423
5.590714,16,0.760787
12.74067,15,0.766848
8.348552,13,0.772133
29.65643,41,0.788594
5.342141,10,0.792642
4.172377,13,0.797912
7.791102,13,0.803073
29.991289,29,0.814616
19.109013,26,0.826643
9.687678,14,0.832249
12.285439,15,0.838141
7.260036,15,0.844206
18.344524,26,1.466332
36.184484,48,1.486794
10.220634,23,1.496127
12.526062,22,1.504991
8.07982,13,1.510221
28.916928,23,1.519481
7.613583,13,1.524699
43.087698,62,1.550713
10.417747,12,1.555649
9.164005,11,1.560287
36.482979,66,1.586789
8.397792,11,1.591365
67.067409,45,1.609318
9.590273,14,1.614857
4.215311,13,1.620231
7.464893,19,1.62802
6.941479,14,1.635439
12.268684,17,1.6423
6.580668,16,1.648813
6.350382,9,1.652381
18.250274,19,1.660098
19.213099,18,1.667367
18.276785,26,1.678016
15.671343,16,1.684383
9.578037,19,1.692182
114.996425,60,1.715756
30.819446,32,1.728612
15.718068,38,1.745478
11.044227,12,1.750374
11.341854,19,1.758023
15.540796,36,1.772671
93.04445,53,1.793601
12.759228,18,1.800828
76.32704,46,1.818798
13.49789,16,1.825378
9.222317,18,1.834364
10.093067,22,1.843256
6.840156,9,1.846824
8.246329,12,1.851712
19.669583,35,1.865978
12.181273,23,1.875526
14.844076,16,1.882074
14.972366,17,1.889017
9.103261,13,1.894287
10.033985,20,1.902421
12.654629,13,1.907761
27.470607,24,1.917295
19.295202,19,1.924989
7.493999,15,1.931022
10.590801,16,1.939199
38.656179,32,1.952018
14.848376,21,1.960463
2.456614,17,1.967505
5.1687,12,1.972436
50.346877,37,1.986983
10.422808,25,1.99686
10.412624,12,2.00167
6.682952,14,2.007293
4.951604,8,2.010508
75.087097,44,2.028134
4.634091,9,2.031756
34.809481,27,2.044237
5.054604,13,2.04942
9.429765,12,2.054302
4.753707,26,2.06476
11.835546,31,2.077231
25.237003,20,2.085393
7.072914,20,2.093359
93.816888,58,2.116403
26.004416,25,2.126458
12.127609,31,2.140677
11.063839,21,2.149122
9.71837,12,2.153912
7.380952,12,2.158764
5.958309,22,2.167573
7.725827,12,2.172547
31.26334,38,2.187763
7.256573,34,2.201265
4.391402,23,2.210468
8.127725,27,2.221304
22.773579,19,2.228911
10.312124,27,2.241269
22.833591,23,2.250379
11.570701,20,2.258205
7.506617,10,2.262213
15.286674,18,2.269505
58.553243,60,2.293528
4.328194,15,2.91308
8.626955,17,2.920501
12.104074,14,2.926506
90.118015,49,2.946771
113.26368,64,2.974386
20.903921,31,2.988106
60.550943,43,3.005807
1.255334,16,3.012421
5.154768,25,3.022566
7.529392,20,3.030727
38.500904,34,3.04445
22.209086,18,3.053381
15.253226,21,3.0619
197.695079,88,3.097986
10.937905,20,3.106216
19.910485,22,3.115284
14.972137,31,3.127942
15.768847,21,3.136514
84.110561,57,3.161016
12.03408,30,3.173075
8.184685,33,3.186778
15.853872,19,3.194872
8.374591,11,3.199506
12.621985,22,3.208386
7.631858,10,3.21248
46.738836,27,3.223388
6.096008,15,3.229462
10.24366,12,3.234198
98.843457,86,3.270233
38.74372,38,3.28608
97.329911,53,3.307443
5.13805,9,3.311162
45.246405,34,3.32469
8.974177,13,3.330025
11.497953,16,3.336559
8.53126,13,3.341969
8.351586,23,3.351285
45.466259,36,3.367399
12.545999,24,3.377109
12.462963,16,3.383641
15.523435,17,3.391418
8.760754,25,3.401582
5.993157,9,3.405212
23.05555,44,3.422946
98.656375,55,3.444449
