#{"t_start": 1706979328.5743468, "env_id": "CustomHopper-source-v0"}
r,l,t
10.654483,28,0.016103
11.571563,15,0.022298
5.7635,11,0.026664
7.217262,15,0.032717
7.690279,24,0.04241
10.603088,14,0.047992
8.691781,14,0.05357
2.793488,6,0.056031
16.909475,22,0.064926
7.347882,10,0.069328
3.986128,14,0.075031
11.475658,14,0.080703
16.047031,18,0.087934
3.772869,11,0.092368
7.815164,12,0.097161
16.73825,17,0.105599
11.804378,16,0.112253
3.02349,9,0.115899
12.381655,16,0.122269
3.302944,18,0.129536
4.9855,9,0.133206
17.634227,20,0.141272
6.208352,9,0.145082
12.697156,21,0.153649
60.945938,38,0.168741
21.948005,36,0.183388
29.877739,24,0.193438
6.9263,15,0.199522
53.441618,35,0.215267
10.605347,15,0.221306
7.333598,15,0.227423
12.343453,12,0.232278
6.790865,11,0.236727
10.818213,14,0.242336
75.358611,41,0.258508
8.43209,22,0.267313
6.451034,10,0.271371
9.187887,14,0.277001
9.464497,29,0.288487
8.439144,14,0.294052
16.675913,19,0.301623
15.070698,18,0.31055
16.637886,23,0.319959
11.280454,15,0.325984
17.891791,28,0.337314
61.432491,40,0.353156
6.127138,10,0.357056
29.849027,26,0.367378
52.745157,44,0.384835
7.30442,10,0.388855
13.699977,15,0.394833
7.310944,14,0.400316
6.787043,12,0.405162
14.113061,15,0.412831
9.750834,14,0.418458
4.502305,14,0.424093
12.134283,22,0.433672
9.712905,11,0.43813
10.118894,19,0.446047
9.234606,11,0.450613
14.89549,16,0.45698
16.110017,20,0.465011
14.04356,18,0.472211
5.946423,11,0.476653
7.60992,11,0.48113
63.306848,44,0.498301
4.083,16,0.504853
18.49669,20,0.514582
7.376834,14,0.520179
9.128257,13,0.525523
15.739322,24,0.535194
12.281521,14,0.540824
13.214937,14,0.546441
13.758068,16,0.552752
17.408205,19,0.560381
11.689721,19,0.568061
0.818094,21,0.576968
29.28822,40,0.593765
6.88714,9,0.600094
5.601934,9,0.606748
5.376418,12,0.617446
6.974672,22,0.62922
3.775791,10,0.633874
30.834543,26,0.645043
15.230994,27,0.657019
14.076423,27,0.668545
14.723494,21,0.677838
9.884403,19,0.686016
4.271175,8,0.689744
9.487114,14,0.695588
3.469274,9,0.699473
10.135218,26,0.712038
18.668882,22,0.723762
17.617785,20,0.732054
11.138708,25,0.743059
17.948719,18,0.7508
5.742559,15,0.757618
18.852422,20,0.765975
9.011798,12,0.770963
12.620071,17,0.778064
6.21959,15,0.784387
18.443031,19,0.79238
9.261372,12,0.797609
58.007706,46,0.818214
6.433577,17,0.825009
12.967472,16,0.831441
11.875901,23,0.840729
18.590361,28,0.852557
9.820602,13,0.857893
10.493083,15,0.864074
13.357725,21,1.543985
21.322179,23,1.554541
21.492805,42,1.5731
33.441345,28,1.5856
19.87917,26,1.596711
18.415284,26,1.607992
10.693474,14,1.613918
12.950328,23,1.623953
77.553061,46,1.645006
10.028517,12,1.650544
7.250249,9,1.654384
34.090182,64,1.681284
6.695978,10,1.685719
73.24818,49,1.706499
8.745186,13,1.71189
4.810158,27,1.723659
16.746423,17,1.730813
27.961344,26,1.743525
7.733481,15,1.749791
18.764015,25,1.760123
17.533008,17,1.767416
12.210364,22,1.776662
6.251348,9,1.780469
11.257235,27,1.791726
81.302339,45,1.810493
50.433488,49,1.831038
19.531642,38,1.848762
13.384221,14,1.854845
118.671194,70,1.884128
48.388733,33,1.898427
13.153769,17,1.90557
72.326111,44,1.923605
47.775448,38,1.941306
11.585452,22,1.950518
6.905557,9,1.954904
7.844806,12,1.960242
26.679351,35,1.97591
13.505752,24,1.992132
13.571687,14,2.00118
19.838788,19,2.013798
14.738019,32,2.029062
15.327233,15,2.035234
21.815363,21,2.04513
34.600203,28,2.055942
16.119438,15,2.063295
7.132571,9,2.067186
140.108657,69,2.094508
5.418301,11,2.099216
47.221884,38,2.114452
10.407972,16,2.122286
8.716349,16,2.128726
20.29187,20,2.137655
6.367804,9,2.143562
74.574845,43,2.161904
19.872764,31,2.17571
9.341167,15,2.181956
11.885208,14,2.188846
6.786467,26,2.199436
14.169614,30,2.211267
25.831539,20,2.21917
98.308682,78,2.251072
32.863906,27,2.261702
19.077805,31,2.273889
14.682668,20,2.281836
9.123688,11,2.286264
11.73706,15,2.292164
14.298558,27,2.302791
40.435131,43,2.319524
7.633793,34,2.332708
4.448703,32,2.347008
11.379215,32,2.359323
25.848033,34,2.372697
23.685319,24,2.382293
16.272779,17,2.388748
7.58999,10,2.39269
14.90929,16,2.399024
88.360358,68,3.010575
20.728549,28,3.021921
111.036318,57,3.043903
102.246768,57,3.067968
70.34289,41,3.084012
74.935984,46,3.102098
5.088635,30,3.11377
28.922814,31,3.126043
92.993063,53,3.146607
69.384987,45,3.166084
68.176432,40,3.181392
37.828485,44,3.199043
66.010111,40,3.21469
27.993291,33,3.227567
69.599377,40,3.243276
15.800267,41,3.260877
89.823309,66,3.286554
22.554702,30,3.298604
50.359919,29,3.309967
37.437547,33,3.322917
67.84458,40,3.338398
102.62411,59,3.362841
104.823233,60,3.385827
141.465234,76,3.41492
36.792143,49,3.434158
130.389804,72,3.463958
107.163401,76,3.493314
22.955946,22,3.501994
89.621789,50,3.521277
118.81722,66,3.54659
14.316461,13,3.551738
23.720307,36,3.567427
28.488275,23,3.576421
83.557852,45,3.593997
99.862404,53,3.614651
96.310036,53,3.635033
48.909495,38,3.649725
45.706243,38,3.666069
131.511204,82,3.698269
58.066941,34,3.711574
5.092916,8,3.714728
152.210143,79,3.744471
14.806131,17,3.751161
39.682524,40,3.768332
72.213175,40,3.783895
5.408771,10,3.787895
58.267219,40,3.803546
45.749491,36,3.817669
140.603625,71,4.428692
85.798762,46,4.447201
91.276809,50,4.466966
12.345128,15,4.472926
13.752386,14,4.480213
127.943468,63,4.504524
60.853373,35,4.518486
131.205719,67,4.543967
120.770523,75,4.573079
177.318707,80,4.605137
122.940672,64,4.629765
165.319655,111,4.672555
118.109514,76,4.703051
106.473616,55,4.724476
54.542994,31,4.73663
114.376438,59,4.759067
100.313416,62,4.784683
63.410612,36,4.79858
50.292389,34,4.811808
133.93693,73,4.839981
65.433856,37,4.854144
108.476482,60,4.877274
109.489684,66,4.904032
58.3075,33,4.916915
139.962696,70,4.943454
108.927472,67,4.969553
129.747905,66,4.995927
85.651258,45,5.012884
49.345169,28,5.024034
11.838074,13,5.029224
68.246743,38,5.043847
50.570542,30,5.055448
110.336694,56,5.077027
104.939187,55,5.09938
89.697823,49,5.117915
154.944861,114,5.161629
53.258499,31,5.173705
13.034966,20,5.181482
201.914225,92,5.830832
63.245177,35,5.844925
13.072599,15,5.851015
65.047359,37,5.865642
52.216891,30,5.877539
81.685464,47,5.895737
74.37132,44,5.914844
109.35367,58,5.939709
73.942151,41,5.955843
204.138556,91,5.991352
51.372967,29,6.002739
70.604218,39,6.019723
68.62222,38,6.036443
53.103671,30,6.048501
61.967176,35,6.062346
53.516651,30,6.074153
50.149151,29,6.085526
91.967914,50,6.104499
124.972968,62,6.129944
68.863688,39,6.147393
198.518388,87,6.181196
159.116886,75,6.211334
119.256688,64,6.23772
121.519609,65,6.262571
61.677051,36,6.27663
212.897845,90,6.312725
183.153149,82,6.345939
117.720286,59,6.368638
132.665366,71,6.395721
56.935237,32,6.407963
58.745194,32,6.421908
176.675093,84,6.455888
92.362932,51,6.475515
67.217967,36,6.489295
55.961736,31,6.501258
69.631338,39,6.517691
63.259389,35,6.531171
88.810075,48,6.551553
53.440823,31,6.563907
141.895992,69,6.590113
187.392005,82,6.622961
105.987557,60,7.262758
161.30398,78,7.300388
51.842412,29,7.314327
54.00572,31,7.330611
98.194686,51,7.354774
61.366182,34,7.371664
179.598388,86,7.409454
158.310724,77,7.444455
172.959758,88,7.484393
202.565688,92,7.523776
54.441914,31,7.538716
80.010399,41,7.555934
187.214699,86,7.593234
62.349836,33,7.606912
122.753531,64,7.635074
51.913864,29,7.647486
140.453667,67,7.676167
67.296799,36,7.690828
108.735772,58,7.714303
62.965054,34,7.728156
54.805134,30,7.74208
79.240312,42,7.759079
138.728247,67,7.787923
69.600846,38,7.803336
54.627645,31,7.816231
86.247263,46,7.834979
156.790246,72,7.867404
211.285734,90,7.902766
176.378072,84,7.935745
13.054208,15,7.943266
113.031888,59,7.968785
152.399205,76,7.999004
67.314228,37,8.013513
227.389608,96,8.05306
113.668718,60,8.078472
126.167461,62,8.103554
83.241724,46,8.122405
192.170915,87,8.883421
184.199011,82,8.926847
217.70645,96,8.974967
206.773264,90,9.019086
173.416438,83,9.056587
192.497698,84,9.097061
202.397566,98,9.139464
107.668936,55,9.162873
86.329439,44,9.183705
202.224085,88,9.221536
214.683453,102,9.263889
55.138658,31,9.278441
161.18864,78,9.312071
117.923348,60,9.335988
181.831844,86,9.370461
179.036358,86,9.408744
147.051588,75,9.438337
50.178581,29,9.450098
212.532994,88,9.487175
140.750534,72,9.517964
