#{"t_start": 1706989391.323693, "env_id": "CustomHopper-source-v0"}
r,l,t
9.800807,17,0.011175
8.196531,17,0.017468
12.016836,15,0.023225
5.227175,12,0.027823
6.678001,13,0.032805
14.692063,18,0.039676
9.392724,15,0.045436
10.429354,16,0.051482
13.713182,23,0.060236
11.4033,13,0.065191
3.859099,14,0.070619
11.389924,14,0.075948
14.998701,17,0.082345
2.612732,11,0.086518
5.520099,9,0.089898
8.214577,19,0.097086
15.605245,17,0.105064
4.896562,10,0.109009
12.920797,17,0.115331
3.795298,18,0.122022
5.53012,10,0.125732
12.022759,16,0.131739
6.984252,10,0.135507
17.546116,21,0.143464
53.14019,42,0.159142
12.694132,32,0.171291
28.644975,22,0.180149
5.733452,8,0.183459
3.051988,11,0.188143
52.613142,34,0.201257
9.964007,15,0.208498
7.696913,15,0.214184
12.591486,12,0.21883
6.67992,11,0.223028
11.53564,15,0.228716
65.908245,37,0.242594
12.269975,18,0.249492
8.102567,14,0.254901
5.930388,13,0.259895
6.043757,14,0.265243
22.311537,27,0.275524
24.100016,27,0.285801
17.146793,18,0.292654
20.476224,20,0.300095
14.710373,16,0.306157
18.256283,29,0.318697
55.66988,38,0.332588
7.302161,12,0.337044
14.982538,18,0.343893
7.70506,11,0.34813
49.245595,41,0.363474
6.047058,8,0.366569
8.376244,10,0.370374
17.193119,19,0.377538
8.465012,13,0.382377
16.294214,17,0.388799
10.162421,14,0.394038
5.14701,13,0.399041
15.717911,21,0.407087
9.638845,11,0.412857
10.208036,19,0.419948
9.381221,11,0.424123
14.849364,16,0.430086
15.831082,20,0.437693
14.890829,19,0.444946
6.809827,11,0.449215
7.500625,10,0.453078
74.815571,49,0.472436
5.570525,12,0.477263
18.177049,22,0.485473
8.641473,14,0.490772
8.341589,15,0.496521
18.599169,20,0.504048
16.961043,17,0.512042
7.115846,10,0.51589
13.623704,16,0.52183
17.278486,19,0.528866
11.024771,18,0.535566
1.791235,23,0.544343
28.178376,41,0.55968
9.062996,11,0.563786
6.990942,11,0.567889
9.111626,17,0.575783
7.548797,12,0.581154
5.498436,10,0.584971
30.828306,26,0.594711
14.987087,26,0.604497
13.881137,27,0.616457
15.530782,21,0.624441
10.320966,19,0.631674
4.18772,8,0.634676
9.066805,13,0.63956
3.264358,10,0.643532
9.699161,23,0.652261
18.149556,28,0.662792
17.497054,19,0.66999
11.292386,24,0.678974
15.821043,17,0.685356
5.884575,15,0.691125
18.863674,20,0.698689
9.135931,12,0.70318
13.471605,18,0.7101
7.209491,11,0.715875
14.625887,19,0.722983
7.819069,13,0.727876
29.592561,41,0.74326
4.967256,9,0.746851
6.675817,14,0.752155
7.656362,13,0.75703
30.707155,29,0.767923
18.876047,26,0.77768
9.616429,13,0.782614
10.406544,15,0.788166
9.815676,16,0.794165
24.29724,30,1.418009
119.398784,99,1.467814
118.961734,65,1.49765
64.293263,46,1.519432
11.529009,13,1.5254
48.430914,71,1.559721
170.148565,82,1.594733
7.069496,14,1.601015
9.134147,17,1.608559
25.181355,24,1.618762
7.087273,13,1.624638
24.200566,26,1.63756
90.877214,52,1.659579
17.497332,24,1.669839
59.817345,35,1.684117
103.643548,62,1.709341
11.248081,31,1.722581
22.424238,18,1.731853
113.739434,86,1.767332
11.136747,13,1.772628
27.994577,38,1.787968
29.333328,30,1.800089
73.08228,62,1.825344
6.798845,10,1.829517
10.822303,14,1.83677
21.711754,29,1.848644
68.583858,60,1.872225
21.813144,33,1.885361
34.077986,29,1.89674
154.21501,76,1.927154
25.379764,32,1.941288
7.362691,17,1.948114
38.316101,43,1.965011
10.114646,15,1.970915
12.177773,21,1.979236
16.918129,19,1.986856
7.987832,12,1.991502
50.627676,39,2.006745
25.823738,33,2.019246
10.432752,20,2.027083
4.733501,8,2.030164
9.927633,26,2.041796
46.27235,49,2.060948
16.515273,26,2.071009
62.724074,53,2.091718
32.326282,28,2.102413
25.600148,32,2.114819
8.827568,16,2.121322
10.681726,14,2.126848
9.547416,14,2.132374
14.045168,27,2.144473
38.983387,50,2.16384
23.349182,43,2.180263
17.082982,36,2.194132
21.033973,18,2.20114
12.398783,27,2.211837
25.049673,26,2.222162
22.059197,21,2.230344
117.955821,91,2.93417
12.52308,23,2.946565
16.45652,16,2.95698
72.608177,42,2.978247
110.867025,58,3.006516
134.056616,66,3.038385
12.508624,16,3.045907
3.603645,30,3.061953
14.285983,20,3.071423
90.877358,67,3.101242
146.6611,80,3.136361
127.461654,83,3.174021
20.601128,25,3.184949
78.800518,51,3.206538
35.931839,50,3.227371
41.283366,53,3.249544
9.866831,13,3.256788
26.036129,28,3.268545
174.366501,78,3.299978
57.885622,34,3.313658
24.15645,28,3.325364
116.526806,61,3.35033
91.277999,50,3.372041
46.30532,54,3.393868
46.570532,43,3.411226
25.850146,29,3.423093
35.303847,37,3.438154
10.37164,14,3.444091
39.256213,37,3.460718
46.590061,49,3.480314
82.516314,47,3.498699
14.098612,17,3.505508
108.255761,63,3.530093
12.742067,15,3.536148
36.646646,27,3.546903
21.568728,20,3.554762
132.291397,64,3.581779
82.440538,47,3.600148
9.933158,12,3.604867
75.519168,44,3.622326
16.539752,19,3.62991
30.870853,36,3.644071
124.74228,86,3.679782
60.809924,35,3.693482
6.286928,9,3.696992
136.359441,77,3.725617
12.388753,16,3.731933
44.312237,40,3.747484
11.318526,15,3.753501
91.682412,57,3.776973
13.647257,14,3.782341
68.085353,45,3.799714
65.792944,43,4.490988
70.467325,41,4.51198
172.815823,80,4.551102
8.53283,14,4.557861
11.081474,12,4.563856
229.430255,113,4.618174
66.012385,42,4.636853
191.406336,106,4.685206
38.200657,30,4.698198
98.081581,59,4.722394
88.973809,55,4.745627
234.316715,110,4.792395
132.18164,66,4.819308
34.836458,30,4.831649
55.121261,32,4.844619
95.414738,57,4.867821
86.716795,54,4.891657
116.509725,61,4.915755
41.410437,33,4.928994
129.573124,78,4.959439
202.863786,99,5.000481
47.668386,34,5.013679
91.316866,49,5.032602
56.450882,40,5.048238
11.569454,16,5.054645
114.053514,63,5.078704
12.545076,16,5.085102
213.346173,95,5.122994
102.570828,53,5.143038
14.052988,16,5.149219
10.207168,16,5.155275
60.408937,35,5.168792
184.520285,80,5.200958
78.996332,56,5.222739
33.31542,28,5.233353
