#{"t_start": 1706967802.4759374, "env_id": "CustomHopper-source-v0"}
r,l,t
9.836125,19,0.025171
7.065599,14,0.037044
10.06883,14,0.048676
6.08829,11,0.058006
4.518422,12,0.068196
11.328479,19,0.085586
6.802387,12,0.096043
5.833785,9,0.103871
9.39186,14,0.119873
13.122454,22,0.138687
11.090444,13,0.150076
3.730903,14,0.162243
11.31791,14,0.174833
16.805498,18,0.19018
4.160125,12,0.200551
6.237745,9,0.20835
15.616526,20,0.232069
8.714563,15,0.245207
3.107829,9,0.253071
11.910929,16,0.266747
3.206728,18,0.282814
4.87223,9,0.295974
16.851426,19,0.312535
7.401979,10,0.324673
12.251754,21,0.34277
60.780368,38,0.374763
23.045271,37,0.40649
25.534182,20,0.42679
5.795984,8,0.433905
3.701523,11,0.44353
51.989428,34,0.472206
10.45251,15,0.485317
7.605218,15,0.49822
11.903245,12,0.50879
6.559793,11,0.522652
10.837374,14,0.535075
145.256881,76,0.602901
12.332646,15,0.615823
19.629937,30,0.644851
14.234836,26,0.667063
14.706559,19,0.684613
7.399031,15,0.698303
21.820287,24,0.718946
17.831953,29,0.755259
56.575255,38,0.788684
7.351853,12,0.798955
14.881872,18,0.816542
7.005907,10,0.825448
37.330913,39,0.861461
8.777362,12,0.871928
13.536425,15,0.884743
7.275673,14,0.900111
8.213554,13,0.911258
12.884204,15,0.924328
10.375891,17,0.941972
6.900926,16,0.957439
19.132115,23,0.977907
5.909323,10,0.986749
12.87017,15,0.999969
6.998579,9,1.00793
21.550658,26,1.030051
12.27108,14,1.045357
17.04323,17,1.059997
4.451139,9,1.068044
7.391597,10,1.076879
76.370762,50,1.120527
3.420388,11,1.130288
18.206193,22,1.152542
8.677974,14,1.165033
8.966158,17,1.179729
16.16429,17,1.197256
12.043975,14,1.209526
12.254167,13,1.220796
10.294423,13,1.232263
5.065726,9,1.240026
15.559942,19,1.259578
12.545147,17,1.274989
3.74876,15,1.288112
29.056505,43,1.325165
7.007655,9,1.332994
6.132303,9,1.34079
5.151332,11,1.353523
6.701146,22,1.372948
5.16949,11,1.382661
30.961142,26,1.405513
15.322261,27,1.429889
13.690857,27,1.45618
14.979871,21,1.474158
9.95976,19,1.491134
3.718248,7,1.500072
6.797072,11,1.511141
2.61248,12,1.523034
6.172032,17,1.538152
7.583336,12,1.548654
8.673787,19,1.56892
16.421364,19,1.585453
12.660142,28,1.609792
13.86914,15,1.622766
7.196657,18,1.638245
17.867136,19,1.65476
9.08181,12,1.668061
13.978665,18,1.683654
7.252182,11,1.693982
12.883209,17,1.708654
9.104012,14,1.722895
22.124748,38,1.756352
6.837704,11,1.775616
7.091732,16,1.792869
7.919729,13,1.806425
30.240878,29,1.831529
18.940627,26,1.853805
9.380467,12,1.867209
8.606104,14,1.879537
15.759891,20,1.897527
22.038057,28,3.047689
53.87096,69,3.109555
11.041945,25,3.132646
30.247884,35,3.162098
20.685223,21,3.180293
124.540507,63,3.240316
9.232107,11,3.249928
38.014777,68,3.315173
10.370844,12,3.325656
50.524748,37,3.360814
14.114092,17,3.378458
4.603513,14,3.39321
8.692532,19,3.410644
7.702723,14,3.426015
14.430851,18,3.441206
8.954225,16,3.454756
