#{"t_start": 1706979859.5726001, "env_id": "CustomHopper-source-v0"}
r,l,t
10.415181,18,0.034142
7.26764,15,0.051695
10.073854,14,0.068022
5.926734,11,0.081457
3.964462,13,0.096799
13.44487,19,0.123179
9.095542,16,0.142161
10.5901,16,0.16026
4.622835,8,0.169474
16.876682,19,0.191602
7.332013,10,0.203363
4.056676,14,0.21982
11.475159,14,0.240317
15.218409,17,0.25997
2.578346,11,0.275453
5.562473,9,0.289691
8.23016,19,0.314443
15.549807,17,0.341349
4.769444,10,0.353659
12.549337,17,0.377227
4.067012,18,0.399657
5.289979,10,0.414279
14.222076,19,0.440914
6.730085,9,0.452585
12.419325,18,0.491777
6.16923,10,0.509163
41.544224,29,0.55489
48.660719,50,0.619475
7.649511,11,0.633672
6.578388,14,0.65651
55.784347,36,0.70123
9.854436,14,0.721329
7.60435,17,0.746914
10.570326,11,0.761662
6.969965,12,0.77725
13.780485,17,0.798073
79.485683,47,0.85985
5.889732,17,0.882206
6.12125,11,0.89656
6.564411,9,0.908279
13.338233,30,0.946448
5.133178,10,0.965688
14.383384,19,0.990826
14.882426,19,1.016389
7.836699,15,1.039313
21.646136,24,1.089458
19.935185,31,1.137387
39.178606,32,1.192414
4.008804,7,1.20178
8.762168,11,1.216321
9.831228,18,1.234247
18.310626,20,1.251476
12.144349,20,1.274377
13.434159,17,1.293693
5.983602,8,1.301216
13.674304,17,1.315922
4.412783,10,1.32472
10.173135,12,1.335071
9.547535,15,1.347875
9.051026,12,1.358372
5.105816,13,1.377103
16.630964,22,1.396683
7.829264,10,1.40585
10.224213,19,1.422149
9.473376,11,1.431914
16.971702,18,1.447338
22.07838,19,1.464757
18.429956,19,1.484689
5.129528,9,1.492989
7.571401,11,1.502652
76.559407,50,1.562513
3.316005,11,1.573853
18.088927,22,1.598235
8.787607,14,1.613203
7.986451,14,1.625585
21.1843,23,1.64532
8.578182,10,1.655077
11.460685,13,1.66661
5.476313,9,1.67831
5.116085,12,1.691823
20.608835,20,1.709209
14.538295,18,1.72468
4.259924,16,1.738542
26.343302,41,1.773494
6.353004,9,1.781524
8.28983,11,1.794073
5.639408,12,1.804495
9.251996,22,1.823273
5.235667,10,1.831927
30.226503,26,1.85376
14.953149,26,1.876967
14.095998,27,1.905099
14.866241,21,1.923008
9.956712,19,1.939383
4.22635,8,1.94641
9.567424,14,1.95829
3.773501,9,1.96614
9.001434,22,1.988388
29.758719,33,2.019994
12.693636,20,2.037335
27.062239,26,2.059773
11.403642,26,2.083342
17.928489,19,2.102673
9.159419,12,2.113018
13.32223,18,2.129994
7.163899,11,2.139732
10.41274,15,2.152569
7.320771,15,2.165576
5.355787,10,2.174742
16.509977,31,2.208193
5.054171,10,2.217125
7.46682,15,2.229977
7.798529,13,2.241263
29.910444,29,2.271887
18.852792,26,2.302724
9.659049,13,2.319773
10.838594,15,2.335191
12.409911,20,3.479182
17.703602,26,3.512221
24.470558,43,3.558798
18.520897,24,3.584872
17.080072,25,3.61852
42.740829,40,3.666773
31.553613,46,3.715443
12.396214,23,3.738791
11.787509,13,3.755389
6.724342,9,3.764825
42.895008,71,3.839704
89.003507,57,3.901341
11.074555,15,3.916618
7.003258,24,3.940822
8.758646,16,3.960423
20.673999,21,3.980459
5.503347,10,3.989538
6.928113,10,3.998393
18.34986,19,4.014718
18.080143,17,4.029277
32.698308,29,4.054008
152.760276,76,4.126645
95.370252,60,4.181186
4.557901,25,4.203911
13.217664,13,4.215156
58.205861,55,4.265733
95.160918,54,4.313295
14.909516,19,4.329598
79.623751,46,4.376832
16.20397,16,4.396382
12.344265,19,4.412818
10.240554,21,4.43096
7.96645,10,4.439998
14.534648,17,4.455306
26.188365,29,4.484606
65.301561,57,4.532617
11.035968,28,4.556554
15.273372,16,4.573231
32.082278,26,4.598521
17.170165,18,4.614389
15.102515,18,4.633199
13.561003,14,4.651352
75.496867,53,4.70484
5.173201,18,4.72052
33.060402,45,4.758478
8.128848,13,4.769701
13.912776,22,4.792264
15.057552,17,4.806906
4.883067,8,4.813962
76.588486,44,4.850675
36.141679,38,4.886554
7.272063,13,4.897754
6.626694,10,4.906401
8.475952,26,4.931226
23.559016,45,4.974056
9.12405,11,4.988746
119.444119,81,5.057176
14.688837,20,5.074327
25.16314,32,5.10549
8.26629,15,5.118579
8.225914,13,5.131575
10.372584,14,5.143568
10.176739,27,5.166109
46.827299,55,5.21913
58.360049,75,5.282317
18.514054,16,5.302889
11.616621,28,5.327296
27.520975,26,5.349456
17.701194,18,5.365031
6.188107,9,5.377361
58.207807,68,5.441691
9.355716,15,6.557323
15.746722,27,6.580751
17.172403,16,6.595706
76.158599,44,6.63831
110.927692,60,6.695252
121.914926,61,6.757707
11.961347,17,6.772647
2.090338,28,6.799092
9.915709,20,6.817315
22.522289,42,6.856832
16.767745,14,6.869411
10.14173,12,6.880136
171.452734,92,6.968234
50.237614,42,7.006352
24.764098,24,7.029413
28.365496,32,7.059856
85.939643,49,7.104917
42.524662,53,7.152683
29.060522,50,7.19594
9.493462,12,7.206258
19.013366,20,7.22332
14.285961,16,7.23778
192.625215,87,7.315434
73.22209,52,7.361901
52.063009,40,7.395852
139.504086,71,7.463592
10.865357,19,7.479946
201.130205,118,7.581508
25.597864,22,7.600305
16.10188,17,7.615326
12.192794,31,7.644735
175.280642,98,7.745369
20.392721,21,7.763225
46.543078,34,7.794856
26.688604,24,7.815524
14.280618,17,7.829979
29.157126,24,7.850228
17.803523,17,7.864882
42.162934,33,7.895761
128.687967,69,7.963479
85.519259,47,8.015857
35.361521,42,8.051805
32.022403,37,8.086267
128.555902,129,8.200678
146.431851,81,8.274658
12.435636,15,8.290821
34.612573,36,8.326671
21.199064,23,8.34644
78.333002,51,8.398874
13.303643,13,8.412196
62.298049,43,8.449267
74.372992,45,9.593001
68.720093,39,9.630282
176.546226,85,9.703949
7.847145,13,9.715683
7.976995,10,9.725162
221.897525,112,9.847012
73.612883,44,9.884541
252.728097,133,10.001438
108.932294,62,10.056851
24.417044,20,10.074381
22.743501,22,10.093397
20.956798,43,10.135962
176.969402,91,10.217453
176.814046,85,10.293107
62.826854,36,10.325738
110.556821,60,10.381541
77.283572,46,10.427369
68.653062,41,10.475538
100.77752,56,10.53311
97.209919,75,10.611721
178.930504,98,10.719194
67.137788,42,10.766191
78.187745,43,10.820192
113.758544,61,10.88385
92.593037,53,10.936529
153.331294,79,11.009328
195.311491,107,11.105648
75.67153,42,11.146087
56.216373,33,11.174528
106.029988,92,11.275092
221.231994,95,11.406863
108.206785,59,11.476632
81.530865,54,11.55207
10.854326,16,11.574354
191.965942,85,13.361222
177.539257,88,13.461468
78.650029,47,13.507839
54.055909,33,13.53868
77.5332,50,13.581611
90.705423,52,13.628773
100.193467,53,13.678417
210.446322,93,13.765805
131.762607,64,13.823934
76.399323,42,13.860191
113.782057,58,13.917516
58.729019,34,13.951822
86.732899,48,13.997672
157.4509,73,14.062154
109.20971,56,14.113769
192.520721,84,14.185125
175.205967,80,14.267263
83.480558,45,14.31638
166.69449,81,14.402927
63.250049,36,14.443587
225.092766,95,14.543436
203.815016,90,14.644927
85.954817,48,14.697131
77.411113,46,14.747116
117.817925,60,14.807107
74.630875,43,14.855881
228.048591,102,14.977112
52.5806,35,15.00709
57.702514,34,15.040937
132.499096,66,15.096863
134.232986,67,15.159488
206.261169,88,15.237703
207.892073,92,15.317439
205.366403,97,16.499362
191.802823,84,16.569374
159.024718,73,16.633985
59.183504,33,16.663929
223.706501,97,16.758475
201.671923,91,16.838617
230.450455,96,16.922504
223.760357,95,17.016222
83.260128,45,17.057452
207.657179,92,17.140898
195.926217,85,17.218627
46.656185,27,17.241688
160.020157,74,17.305628
53.681637,31,17.335845
220.858996,93,17.421962
141.75354,70,17.48189
139.636157,67,17.540331
67.046807,36,17.571507
179.291503,78,17.641386
209.949543,91,17.730108
221.946948,104,17.816646
133.44178,67,17.876012
165.556354,83,17.94956
190.282383,84,18.035443
243.370948,103,18.125035
142.261871,77,18.203633
72.221626,40,18.240583
76.487824,42,18.279972
203.258986,88,19.452295
195.404377,85,19.528555
216.456719,95,19.611503
209.499496,90,19.709205
178.83417,85,19.799508
197.554076,86,19.891581
200.549325,88,19.983143
146.316536,71,20.046481
61.932502,35,20.083416
220.775794,95,20.177911
96.624,52,20.223274
207.656776,89,20.304623
224.851047,95,20.384678
120.538423,63,20.439585
196.860751,86,20.523796
204.545654,87,20.5969
136.360501,67,20.656082
202.755791,88,20.734735
192.388378,93,20.82181
130.418106,66,20.876798
49.080779,28,20.900381
182.407893,81,20.970207
207.749411,89,21.053277
57.656277,32,21.086298
187.574052,86,21.170999
182.368519,83,21.244036
172.696334,85,22.44362
190.663106,84,22.52421
271.71744,108,22.621623
206.16205,90,22.701688
179.046556,81,22.771079
209.592058,94,22.854652
192.000494,83,22.93235
181.415124,82,23.00427
214.337652,91,23.085807
252.111937,101,23.199335
201.580019,86,23.272722
194.215067,84,23.346905
185.697539,82,23.433772
191.817467,84,23.553477
192.24655,84,23.658992
188.626204,84,23.770735
235.671804,99,23.892902
192.79358,83,23.990836
201.266279,89,24.100756
195.315293,84,24.20882
238.104986,100,24.33636
192.723017,85,24.440342
50.830044,29,24.47613
195.274788,88,24.579895
129.265251,65,26.163626
174.16345,77,26.237779
146.754854,71,26.303262
242.178919,98,26.392854
202.565912,89,26.475659
180.991697,81,26.553333
184.114344,88,26.630744
203.896254,89,26.706671
205.352651,89,26.789252
185.707903,86,26.868327
186.404138,84,26.942367
196.908339,85,27.013703
197.439744,88,27.095022
182.204639,81,27.176326
195.132761,84,27.25111
229.989305,99,27.344842
196.072362,84,27.423974
247.442102,105,27.51542
194.686519,86,27.589421
200.48467,87,27.67085
200.015808,85,27.748379
198.92861,85,27.824526
158.471786,78,27.891956
225.087461,93,27.979146
198.614517,86,29.35997
205.542248,88,29.463349
