#{"t_start": 1707000274.6027873, "env_id": "CustomHopper-source-v0"}
r,l,t
9.637521,17,0.366481
8.549958,17,0.3729
11.911228,15,0.378608
5.338611,12,0.383179
6.175987,12,0.387686
11.933733,18,0.394473
9.0211,16,0.400543
10.493381,16,0.406631
13.654774,23,0.41531
11.120789,13,0.420271
4.237487,14,0.425615
11.54181,14,0.430839
15.069519,17,0.437143
2.794156,11,0.441322
5.561284,9,0.44467
8.385045,19,0.451773
15.733577,17,0.459864
4.813681,10,0.463605
11.763436,16,0.469461
2.679268,18,0.476114
5.27627,9,0.479548
15.900894,18,0.486221
7.865454,11,0.490247
12.137735,21,0.498226
63.214407,39,0.512604
13.04092,32,0.524599
35.328212,27,0.534749
5.836742,15,0.540277
49.152626,34,0.552758
13.776174,16,0.558876
7.827982,15,0.566077
10.646253,11,0.571204
7.35576,13,0.579068
13.823917,17,0.587431
85.244429,49,0.60585
5.554409,15,0.611673
5.842198,10,0.615446
7.041638,10,0.619233
13.407856,30,0.631495
5.323669,10,0.637188
14.775432,19,0.648538
14.9597,20,0.658716
12.029023,19,0.667618
14.795461,19,0.674993
17.374443,28,0.685548
9.772,12,0.690061
23.03937,22,0.698429
4.97989,8,0.701488
11.261257,13,0.706215
7.395896,13,0.7111
9.576556,13,0.716002
70.378931,51,0.734597
15.892655,24,0.743555
9.266786,13,0.748382
19.394403,19,0.755305
10.290107,14,0.760432
5.123027,13,0.766923
17.081257,22,0.775042
9.200552,11,0.779149
10.846581,19,0.786236
8.690712,10,0.789991
14.700298,16,0.795928
15.395894,19,0.803037
5.965321,10,0.806879
7.366873,11,0.81087
4.643835,10,0.814641
8.675311,11,0.818782
57.225944,42,0.834142
5.161255,18,0.840905
17.97401,22,0.848973
8.585592,14,0.854251
7.914382,15,0.859847
17.00206,19,0.868577
12.077716,14,0.873764
12.297709,13,0.878628
11.431654,14,0.883826
4.321575,8,0.886792
14.653231,19,0.893929
14.286097,18,0.900584
4.903489,14,0.9059
28.481823,43,0.921836
6.934969,9,0.925154
5.263461,9,0.928519
5.490197,11,0.932582
7.569033,22,0.940735
5.058467,11,0.944832
30.888403,26,0.954337
15.497092,27,0.964217
14.139278,27,0.975918
14.723366,21,0.983735
10.072215,19,0.990829
3.678224,7,0.993445
6.786529,11,0.997491
2.863446,12,1.001985
5.857565,17,1.008238
6.915388,11,1.012376
14.287619,21,1.020195
16.892662,19,1.02718
13.803401,27,1.037188
13.504567,15,1.042873
6.774127,19,1.049939
17.154222,18,1.056632
9.126095,12,1.061152
12.761735,18,1.06942
