#{"t_start": 1707001679.8977265, "env_id": "CustomHopper-target-v0"}
r,l,t
13.37944,30,0.431473
11.733687,15,0.437842
6.589558,11,0.44251
6.734666,14,0.448556
12.460312,21,0.457919
11.317555,18,0.465737
9.772504,15,0.47223
14.925699,22,0.481539
11.700726,13,0.487228
5.967489,15,0.493827
9.542612,13,0.499638
16.155834,18,0.507493
4.870273,12,0.512704
6.744689,9,0.518622
16.570104,20,0.52744
9.70917,15,0.534075
4.246772,9,0.538106
13.232478,17,0.545449
6.353435,18,0.553397
6.533476,11,0.55837
10.592995,15,0.564829
8.448933,11,0.56973
13.79025,21,0.579178
59.852907,39,0.596715
16.383445,33,0.612164
28.502264,23,0.626104
6.043617,8,0.629935
5.301807,12,0.635585
38.171973,29,0.649066
7.481485,9,0.653355
9.186101,11,0.658404
18.809812,22,0.668663
9.675614,12,0.67412
8.52511,14,0.680591
24.165524,26,0.692717
25.584895,20,0.701916
10.311459,13,0.708004
9.063534,14,0.714535
7.20063,14,0.723053
11.556794,34,0.738791
6.034067,10,0.743477
15.268748,19,0.752114
16.185962,20,0.761026
13.535483,19,0.769668
15.395313,19,0.778166
20.378474,30,0.791539
49.926419,36,0.807347
5.432216,11,0.812269
20.075452,23,0.824691
47.826374,58,0.850381
13.975536,15,0.856973
8.668554,14,0.863093
9.061397,13,0.868734
13.314548,15,0.875177
10.399843,14,0.88127
4.98672,11,0.886092
17.452099,25,0.897123
9.405351,11,0.9019
15.313812,24,0.912544
6.054186,8,0.916114
11.910776,27,0.930049
7.416122,11,0.935137
14.954769,15,0.941811
5.775977,10,0.946321
8.121018,10,0.95074
63.189722,44,0.969705
6.340476,17,0.977412
15.218476,18,0.985815
7.739018,14,0.992062
12.860154,19,1.000513
18.944684,20,1.01043
17.201921,17,1.017985
7.919703,11,1.022949
12.737108,15,1.031337
16.585264,18,1.039264
15.458416,20,1.048251
2.932152,23,1.058517
42.112794,43,1.078361
9.014781,12,1.083906
6.448682,11,1.088984
10.296725,31,1.103285
10.493472,12,1.108728
8.968795,13,1.114626
12.395079,15,1.121381
18.984461,18,1.131902
17.56853,27,1.145147
11.787865,18,1.154333
9.969982,19,1.163515
6.214855,9,1.168173
10.47409,20,1.177545
6.757109,12,1.183799
14.546593,18,1.192829
16.241119,22,1.204159
24.718204,24,1.216284
17.050276,24,1.228256
8.258495,11,1.235572
8.467494,19,1.244764
17.997921,19,1.254621
10.473923,13,1.261321
14.529214,17,1.269348
7.844289,11,1.274713
11.32598,15,1.281967
8.989654,16,1.28969
26.034219,39,1.30954
5.804447,12,1.316029
6.113685,17,1.324628
32.77198,26,1.339365
8.675122,14,1.346333
25.13827,28,1.360181
