#{"t_start": 1707010852.7881894, "env_id": "CustomHopper-udr-v0"}
r,l,t
10.628892,18,0.432811
7.378912,16,0.439851
12.940199,15,0.446454
5.547733,13,0.452196
6.684792,12,0.457522
12.833748,16,0.464303
9.588369,15,0.470751
7.301134,10,0.474952
6.303245,11,0.479642
17.155361,28,0.491896
7.617806,14,0.497882
16.313871,17,0.505149
4.405042,8,0.508582
13.287721,13,0.514216
4.588891,10,0.518715
6.731819,11,0.525314
15.768738,17,0.53252
13.769521,16,0.539471
4.36296,10,0.54378
12.395281,16,0.55049
2.531443,18,0.558293
5.983037,9,0.562203
17.778882,20,0.57075
6.717671,9,0.574528
12.114822,21,0.584821
62.965455,38,0.603064
24.369248,38,0.630616
25.71317,20,0.640712
6.416041,8,0.644619
3.205326,10,0.649549
50.842404,34,0.665611
10.2746,14,0.672015
9.267261,21,0.681787
11.055308,13,0.687926
9.047741,16,0.695346
21.227915,24,0.70687
30.068845,24,0.718194
9.319797,11,0.723274
9.380467,16,0.732484
7.041816,11,0.73753
6.38893,14,0.743951
21.816444,27,0.756461
23.579475,27,0.768795
15.160066,16,0.776191
11.837963,19,0.784777
14.78172,19,0.793494
17.590463,28,0.80622
68.978947,40,0.823558
6.653966,11,0.828303
15.726727,19,0.838192
13.273942,15,0.844901
28.444428,34,0.860147
7.333612,10,0.864857
8.518629,10,0.869201
17.003623,19,0.877601
9.673783,13,0.88309
20.211671,18,0.891272
7.432749,14,0.897513
4.316154,13,0.903264
9.350293,19,0.911524
8.448459,10,0.915851
7.876425,14,0.921799
19.726951,19,0.929807
13.457766,15,0.937853
15.147746,19,0.946387
5.557085,10,0.950876
7.236374,11,0.955585
5.379459,10,0.960101
7.646331,10,0.964514
69.526645,48,0.984952
5.384893,13,0.990695
16.902623,22,1.000357
8.991978,14,1.006492
8.596201,17,1.013748
16.293822,17,1.020967
13.079261,14,1.026867
11.814224,13,1.033929
10.967497,14,1.039859
3.588155,8,1.04319
15.385187,19,1.051436
12.549624,17,1.058629
4.005021,16,1.065554
26.458736,42,1.083347
7.56008,9,1.087738
5.819026,9,1.091792
5.234983,11,1.096835
7.902083,22,1.106486
4.573699,11,1.11147
29.464683,26,1.122457
16.091951,27,1.13586
14.399747,27,1.148068
15.401368,22,1.158137
12.410158,22,1.168091
9.897381,16,1.175101
2.049093,11,1.180088
10.085759,25,1.191091
15.882304,23,1.201064
14.992525,19,1.209109
12.433916,27,1.220699
16.015127,17,1.228249
5.350595,16,1.235088
17.076002,19,1.245089
8.371465,12,1.25002
12.250895,17,1.257204
6.713711,13,1.262714
11.080791,16,1.269381
9.248872,14,1.275248
23.336697,39,1.29195
3.821279,11,1.296729
7.527085,15,1.302988
8.950552,14,1.308917
22.678229,26,1.320079
19.489892,29,1.332053
10.154167,13,1.337498
22.030747,21,1.348043
10.508996,19,2.1078
9.689693,18,2.118522
15.936148,38,2.140995
36.87893,30,2.159746
20.407189,24,2.173285
9.061064,16,2.182334
14.751043,15,2.191113
6.911278,12,2.197963
11.898226,25,2.212205
17.919906,17,2.221412
8.388881,24,2.235182
8.567128,10,2.240788
10.585279,14,2.248706
51.521679,74,2.289685
35.643095,29,2.304991
