#{"t_start": 1704941409.5559587, "env_id": "CustomHopper-udr-v0"}
r,l,t
2.974818,19,1.36372
15.212651,16,1.390716
10.101406,12,1.41385
5.668423,26,1.457433
10.210771,17,1.484729
25.794854,30,1.53608
31.142788,28,1.583477
8.759869,14,1.606677
14.581574,21,1.642662
10.450445,30,1.692928
32.263813,34,1.748408
13.593223,15,1.772487
12.843127,15,1.796133
9.531256,17,1.829286
44.615159,71,1.965384
2.201977,10,1.982527
4.710758,9,1.998408
17.078933,19,2.028862
55.504758,34,2.083352
6.738777,20,2.11545
27.570347,31,2.168429
16.457197,16,2.195074
15.788451,16,2.222122
13.00948,15,2.246567
11.208127,23,2.284566
69.519229,46,2.3638
5.744388,12,2.383593
6.013289,19,2.41605
2.284298,7,2.427794
9.369057,16,2.453929
6.507311,13,2.475676
36.834155,29,2.52394
31.520486,34,2.578684
7.408938,14,2.601708
19.71655,22,2.637297
15.269931,23,2.67399
3.677067,8,2.686693
9.469629,13,2.706956
4.572428,9,2.725387
6.640706,19,2.761284
8.021188,11,2.780967
4.928397,9,2.798613
12.167841,15,2.824641
16.317106,20,2.857927
3.401593,12,2.882835
46.021216,33,2.939027
3.96522,12,2.961926
9.501147,17,2.993145
6.474131,15,3.020431
10.201915,15,3.04864
2.783426,8,3.062959
18.6004,31,3.116863
24.368095,22,3.163713
13.224606,15,3.18902
6.699753,11,3.206655
43.422014,40,3.278514
4.935606,15,3.306381
4.871,10,3.324927
7.126345,12,3.345405
4.218274,15,3.373391
14.627034,17,3.398045
9.536848,19,3.423642
7.525643,13,3.440611
18.860142,20,3.466818
6.722513,24,3.497742
8.121272,14,3.516497
9.679583,11,3.531038
13.19373,16,3.552061
37.682612,40,3.603181
4.907462,15,3.622684
11.957301,25,3.654752
23.535145,23,3.68438
14.59161,38,3.735765
9.974442,21,3.76352
9.280122,27,3.797426
7.488181,21,3.824135
10.106965,13,3.840702
8.567819,11,3.854895
9.635905,11,3.868865
7.867167,20,3.896399
10.84581,16,3.92115
6.128841,14,3.938696
5.058911,29,3.976217
8.251367,19,4.005626
22.632975,39,4.057537
18.282676,24,4.08943
53.386856,50,4.156602
21.367986,23,4.187648
8.82732,18,4.211564
6.65737,10,4.224456
28.643749,38,4.277049
6.94,9,4.290067
33.548491,29,4.328774
10.501994,16,4.350016
18.607475,19,4.376341
9.705072,13,4.394002
7.598355,13,4.412309
7.593762,25,4.444809
13.146715,30,4.484995
30.360682,26,4.52008
6.71909,10,6.544409
14.222345,17,6.568509
20.89597,22,6.598491
21.527546,23,6.629715
20.674757,33,6.675185
75.925255,54,6.749947
10.618552,22,6.779713
38.034212,29,6.817004
9.934768,13,6.833394
20.573619,25,6.866028
50.72704,36,6.912541
31.193021,25,6.945344
32.76817,28,6.989542
