#{"t_start": 1707007972.626184, "env_id": "CustomHopper-udr-v0"}
r,l,t
9.768142,18,0.418379
5.586675,15,0.42495
10.260882,14,0.431028
5.98638,12,0.436294
7.157992,13,0.441892
15.300102,17,0.449192
4.85282,12,0.454344
5.866541,8,0.457749
7.594134,15,0.463993
12.342559,22,0.473443
12.320402,12,0.478652
3.485605,15,0.48509
10.007409,14,0.491069
15.66745,18,0.498738
3.184859,11,0.503494
5.085203,8,0.507022
9.775438,20,0.517545
13.134405,16,0.524334
2.375775,10,0.52854
12.088837,16,0.535251
2.145625,18,0.543306
5.332365,9,0.547211
14.891369,19,0.555264
7.992512,10,0.559417
10.84775,21,0.568318
72.317531,39,0.584948
13.737552,32,0.599227
34.803919,26,0.61279
8.983251,14,0.618814
50.20238,36,0.634499
12.658879,15,0.641066
8.251199,18,0.648961
8.731555,10,0.65336
6.286551,12,0.658486
13.314342,17,0.665962
56.956843,41,0.684186
8.899938,12,0.689431
7.26903,14,0.695551
5.284622,14,0.701584
8.21502,28,0.715219
6.848749,13,0.720759
14.068408,21,0.72973
15.10526,20,0.738344
14.542568,22,0.747858
13.06389,15,0.754345
16.862895,31,0.767637
50.079986,36,0.782716
2.060861,10,0.786922
15.404974,19,0.795159
8.573486,12,0.800296
37.626863,40,0.81954
7.829115,10,0.823845
6.672393,10,0.828042
18.41862,19,0.83605
10.092563,14,0.841897
10.130271,14,0.847782
10.376669,14,0.853882
2.781693,14,0.859863
10.781955,21,0.86892
7.270601,10,0.873089
8.417665,20,0.881701
9.332591,12,0.886862
14.06286,16,0.893671
15.311794,19,0.901824
4.341594,9,0.905671
8.030606,12,0.910803
3.940433,10,0.915123
8.123853,11,0.921643
53.720331,43,0.939737
3.756029,18,0.947512
13.679057,24,0.957855
16.470258,17,0.964981
15.06349,22,0.974476
6.571762,11,0.97923
12.045462,13,0.984647
5.480585,10,0.988915
16.096974,17,0.995986
12.574448,18,1.003706
10.401342,18,1.011399
3.641602,20,1.02147
28.730215,44,1.040341
8.9362,11,1.045002
8.251508,11,1.04959
6.876581,15,1.055828
7.821015,14,1.061808
4.73498,10,1.066032
28.295717,25,1.076651
18.26121,28,1.08871
12.899765,26,1.099902
16.87334,21,1.109077
9.910979,19,1.117438
4.17573,8,1.12271
7.082226,13,1.128296
1.624307,10,1.132779
9.04648,26,1.144163
14.763136,20,1.152833
31.714932,23,1.162569
10.6171,25,1.173243
11.712323,15,1.179677
5.864359,17,1.186945
18.533035,20,1.195491
10.474668,13,1.200882
12.490022,16,1.207597
5.732126,12,1.212867
10.581093,17,1.220012
7.331324,13,1.227162
15.377405,38,1.243088
8.13079,14,1.249238
5.77887,14,1.255119
8.359788,15,1.26169
13.09156,24,1.272155
17.207361,28,1.283915
11.81633,16,1.290589
5.398288,11,1.29504
11.148841,18,1.302724
21.669475,28,2.081678
29.504623,45,2.10826
19.144459,23,2.121899
19.659182,26,2.13693
39.014501,35,2.15876
20.904162,22,2.170958
114.013577,69,2.207644
65.466184,79,2.250664
52.076205,44,2.27293
15.939276,18,2.281894
-4.93244,25,2.294549
5.629863,11,2.300052
5.48776,11,2.305597
11.768667,17,2.313795
7.138664,14,2.320468
7.635315,11,2.325966
13.664688,17,2.334324
13.127258,15,2.341512
31.47622,30,2.357701
71.072637,50,2.381674
84.062024,43,2.401313
126.112338,56,2.428122
10.941456,17,2.436658
10.714916,12,2.442329
20.195921,26,2.456272
124.380425,75,2.490972
4.944453,8,2.494722
12.605473,18,2.502902
151.768812,62,2.530922
9.782964,18,2.538781
10.805255,21,2.548031
7.843774,10,2.554002
9.18228,14,2.559982
37.163838,33,2.574832
13.067943,21,2.584098
12.14946,15,2.590702
18.337545,18,2.598582
8.531042,13,2.604438
12.238286,20,2.613525
13.798476,14,2.619679
24.325427,25,2.630622
31.007693,31,2.644102
11.262592,14,2.650067
126.110538,73,2.683681
5.94163,13,2.689237
60.769322,41,2.706378
15.811904,26,2.717666
18.091488,21,2.726734
8.053383,9,2.730613
65.963272,40,2.747879
3.439948,9,2.751763
51.59177,32,2.766947
4.866195,13,2.772407
5.289121,10,2.776678
9.327828,27,2.788564
22.456959,43,2.807155
8.016683,11,2.811853
90.021278,66,2.840508
7.096945,10,2.844845
24.432983,26,2.857678
21.672943,28,2.869741
23.600527,30,2.882826
9.503936,15,2.889166
11.698257,27,2.900925
44.271563,51,2.923365
26.61993,56,2.947996
143.445798,85,2.98581
14.53002,15,2.992271
12.899183,15,2.998687
21.17048,23,3.008721
74.890209,66,3.858575
14.825722,26,3.875782
8.562279,13,3.88658
89.097926,43,3.910493
110.812199,60,3.944504
118.347268,64,3.984045
11.298328,18,3.99477
3.52582,27,4.010377
12.059565,21,4.022395
16.703042,28,4.038837
39.982643,36,4.059149
5.951028,10,4.064828
137.408601,71,4.108643
14.8145,31,4.125749
16.353581,22,4.138183
28.659634,25,4.151968
44.975448,40,4.173581
